[00:17:26] [INFO] received Windows console close event; shutting log-core down
[00:28:47] [INFO] received Windows console close event; shutting log-core down
[10:48:27] [INFO] received Windows console close event; shutting log-core down
[21:55:52] [INFO] received Windows console close event; shutting log-core down
[20:15:59] [INFO] received Windows console close event; shutting log-core down
[21:40:03] [INFO] received Windows console close event; shutting log-core down
[18:02:40] [INFO] received Windows console close event; shutting log-core down
[18:03:09] [INFO] received Windows console close event; shutting log-core down
[18:14:13] [INFO] received Windows console close event; shutting log-core down
[18:19:18] [INFO] received Windows console close event; shutting log-core down
[15:40:14] [INFO] received Windows console close event; shutting log-core down
[02:58:21] [INFO] received Windows console close event; shutting log-core down
[02:59:25] [INFO] received Windows console close event; shutting log-core down
[03:13:50] [INFO] received Windows console close event; shutting log-core down
[03:15:13] [INFO] received Windows console close event; shutting log-core down
[14:10:40] [INFO] received Windows console close event; shutting log-core down
[14:11:56] [INFO] received Windows console close event; shutting log-core down
[14:23:17] [INFO] received Windows console close event; shutting log-core down
[14:27:05] [INFO] received Windows console close event; shutting log-core down
[14:34:01] [INFO] received Windows console close event; shutting log-core down
[15:16:39] [INFO] received Windows console close event; shutting log-core down
[15:24:24] [INFO] received Windows console close event; shutting log-core down
[17:42:51] [INFO] received Windows console close event; shutting log-core down
[17:48:23] [INFO] received Windows console close event; shutting log-core down
[16:29:51] [INFO] received Windows console close event; shutting log-core down
[16:32:14] [INFO] received Windows console close event; shutting log-core down
[16:38:03] [INFO] received Windows console close event; shutting log-core down
[16:38:07] [INFO] received Windows console close event; shutting log-core down
[16:39:48] [INFO] received Windows console close event; shutting log-core down
[16:44:47] [INFO] received Windows console close event; shutting log-core down
[15:13:42] [INFO] received Windows console close event; shutting log-core down
[19:07:10] [INFO] received Windows console close event; shutting log-core down
[20:17:37] [INFO] received Windows console close event; shutting log-core down
[16:10:46] [INFO] received Windows console close event; shutting log-core down
[16:26:45] [INFO] received Windows console close event; shutting log-core down
[20:37:19] [INFO] received Windows console close event; shutting log-core down
[20:40:17] [INFO] received Windows console close event; shutting log-core down
[20:43:13] [INFO] received Windows console close event; shutting log-core down
[20:59:35] [INFO] received Windows console close event; shutting log-core down
[21:05:46] [INFO] received Windows console close event; shutting log-core down
[21:11:12] [INFO] received Windows console close event; shutting log-core down
[21:11:48] [INFO] received Windows console close event; shutting log-core down
[21:32:02] [INFO] received Windows console close event; shutting log-core down
[21:38:48] [INFO] received Windows console close event; shutting log-core down
[22:00:01] [INFO] received Windows console close event; shutting log-core down
[23:55:34] [INFO] received Windows console close event; shutting log-core down
[23:55:34] [INFO] received Windows console close event; shutting log-core down
[00:02:40] [INFO] received Windows console close event; shutting log-core down
[17:03:03] [INFO] received Windows console close event; shutting log-core down
[17:03:23] [INFO] received Windows console close event; shutting log-core down
[17:47:57] [INFO] received Windows console close event; shutting log-core down
[22:21:59] [INFO] received Windows console close event; shutting log-core down
[23:08:16] [INFO] received Windows console close event; shutting log-core down
[18:49:00] [INFO] received Windows console close event; shutting log-core down
[15:49:25] [INFO] received Windows console close event; shutting log-core down
[05:29:43] [INFO] received Windows console close event; shutting log-core down
[15:08:07] [INFO] received Windows console close event; shutting log-core down
[20:53:38] [INFO] received Windows console close event; shutting log-core down
[17:58:47] [INFO] received Windows console close event; shutting log-core down
[09:49:20] [INFO] received Windows console close event; shutting log-core down
[09:55:11] [INFO] received Windows console close event; shutting log-core down
[01:44:03] [INFO] received Windows console close event; shutting log-core down
[01:46:41] [INFO] received Windows console close event; shutting log-core down
[01:48:02] [INFO] received Windows console close event; shutting log-core down
[16:27:43] [INFO] received Windows console close event; shutting log-core down
[17:02:16] [INFO] received Windows console close event; shutting log-core down
[18:08:13] [INFO] received Windows console close event; shutting log-core down
[18:14:07] [INFO] received Windows console close event; shutting log-core down
[17:13:23] [INFO] received Windows console close event; shutting log-core down
